customer_id,customer_name,lead_name,container_name,camera_id,camera_name,schedules (id|title|patrolType|status; ...),subgroup,reason
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,419689,Generic Stream Flir stream 1 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,437745,F2 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,437746,F3 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,437747,F4 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,437748,F5 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,437749,F7 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,437750,F8 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,437751,F9 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,442665,2N camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37989,Central District Complex - Site A,Immix.immixcs.net - Patrol,connector-37989,416381,Front Door,161|VCH - Raise|VisualCameraHealth|Active,F3 (provisional),vch-161 in AP mode; classified by K8s sample-count pattern (~483/24h)
37989,Central District Complex - Site A,Immix.immixcs.net - Patrol,connector-37989,416382,2. Outside  Roof (Tour),161|VCH - Raise|VisualCameraHealth|Active,F3 (provisional),vch-161 in AP mode; classified by K8s sample-count pattern (~483/24h)
37989,Central District Complex - Site A,Immix.immixcs.net - Patrol,connector-37989,416383,3. Gate,161|VCH - Raise|VisualCameraHealth|Active,F3 (provisional),vch-161 in AP mode; classified by K8s sample-count pattern (~483/24h)
