scheduleId,tenantId,admin_pk,customer_id,customer_name,title,integration,patrolType,scheduleCameraCount,siteCameraCount,verdict,immix_code_at_scan,immix_status_at_scan,createdDate,updatedDate,disabledAt,disabledBy
dacc71f2-8805-41ce-4fae-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,175,38315,AB,VCH 2,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:16:20,2026-04-24T19:34:36,2026-04-24T19:34:32,cleanup_lambda
f5b997e9-5076-4860-4fac-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,177,38317,NS,VCH 2,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:16:22,2026-04-24T19:35:01,2026-04-24T19:34:32,cleanup_lambda
667a7dd8-2b08-47d6-4fab-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,178,38318,McCall,VCH 2,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:16:23,2026-04-24T19:34:59,2026-04-24T19:34:32,cleanup_lambda
4e5abae7-5182-45c8-4f9e-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,184,38313,Lab Audio,Raise,VCH,VisualCameraHealth,1,4,gone_explicit,200,Deleted,2025-09-28T17:18:01,2026-04-24T19:34:56,2026-04-24T19:34:32,cleanup_lambda
0f532fbd-a3df-4fd9-4f9d-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,185,38314,Lab Hik,Raise,VCH,VisualCameraHealth,16,16,gone_explicit,200,Deleted,2025-09-28T17:18:03,2026-04-24T19:34:57,2026-04-24T19:34:32,cleanup_lambda
152a203c-f380-4977-4f9a-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,186,38315,AB,Raise,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:18:10,2026-04-24T19:34:35,2026-04-24T19:34:32,cleanup_lambda
89295489-f629-41bc-4f99-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,187,38316,DH,Raise,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:18:12,2026-04-24T19:34:40,2026-04-24T19:34:32,cleanup_lambda
a3a66cf3-7f24-453f-4f98-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,188,38317,NS,Raise,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:18:13,2026-04-24T19:35:00,2026-04-24T19:34:32,cleanup_lambda
f51ce963-78c0-4e26-4f97-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,189,38318,McCall,Raise,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:18:15,2026-04-24T19:34:58,2026-04-24T19:34:32,cleanup_lambda
5046995a-efd9-4cfb-4fa4-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,190,37325,Site 3,VCH,VCH,VisualCameraHealth,5,7,gone_explicit,200,Deleted,2025-09-28T17:18:18,2026-04-24T19:35:05,2026-04-24T19:34:32,cleanup_lambda
1c089bfe-69dd-4bf2-4f95-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,191,38319,Site 2,Raise,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:18:20,2026-04-24T19:35:04,2026-04-24T19:34:32,cleanup_lambda
b2cf1550-651c-4fce-4f94-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,192,35829,Site 1,Raise,VCH,VisualCameraHealth,100,100,gone_explicit,200,Deleted,2025-09-28T17:18:23,2026-04-24T19:35:03,2026-04-24T19:34:32,cleanup_lambda
