admin_pk,schedule_id,integration,customer_id,customer_name,admin_schedule_status,admin_disabled_by,admin_disabled_at,admin_reenabled_by,admin_reenabled_at,admin_created_date,admin_updated_date,s3_tenant_id,s3_settings_found,ddb_last_patrol_ts,ddb_last_patrol_days_ago,ddb_patrol_count_30d,ddb_patrol_count_7d,ddb_patrol_count_total,immix_code,immix_schedule_status,verdict,notes
100,3fbae3c3-fa96-4372-785e-08ddcb586af6,vch,36208,"242 - Chester Avenue, AT&T (TIER 2)",Active,,,,,2025-07-28T15:25:14.772904Z,2026-01-07T17:43:07.212282Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
207,c3c3aa4e-7c20-4092-e289-08de0670527f,vch,38582,26 Steve Fonyo Drive,Active,,,cleanup_lambda:rollback-2026-04-24,2026-04-24T18:06:31.650068Z,2025-10-08T14:45:18.513556Z,2026-04-24T18:06:32.786403Z,74cf336c-f671-45ad-ba7b-193d4f2540f1,yes,,,0,0,0,200,Active,active,
201,d9f469e5-fb73-4607-e283-08de0670527f,vch,38575,2992 Sheppard Ave E,Active,,,,,2025-10-08T14:35:16.051928Z,2025-10-08T14:35:27.018561Z,74cf336c-f671-45ad-ba7b-193d4f2540f1,yes,,,0,0,0,200,Active,active,
212,1ed96567-d646-4f4c-2aef-08de07d46466,vch,38738,2 Fuller Road - Bergvliet,Active,,,,,2025-10-14T15:42:16.866445Z,2025-11-04T17:41:30.399858Z,b9953026-27c7-4116-ac6e-5f20fd39ef80,yes,,,0,0,0,401,(err),auth_fail,
203,761106c9-847e-4465-e284-08de0670527f,vch,38577,34 Poplar Ave,Active,,,cleanup_lambda:rollback-2026-04-24,2026-04-24T18:06:31.650068Z,2025-10-08T14:35:18.613302Z,2026-04-24T18:06:33.224813Z,74cf336c-f671-45ad-ba7b-193d4f2540f1,yes,,,0,0,0,200,Active,active,
35,2415f5fa-8e3d-4938-b9f2-08ddc53a8a29,vch,35991,3680/West Marine/ Aldi-AIS,Active,,,,,2025-07-22T17:00:45.798534Z,2025-07-22T17:01:53.746323Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
64,cb41cdc2-cd20-48aa-b9d5-08ddc53a8a29,vch,36020,3929 Airport Blvd-AIS,Active,,,,,2025-07-22T17:01:22.223885Z,2025-07-22T17:02:17.501420Z,ac399cd6-2fdf-4659-b8e5-baea54075017,yes,,,0,0,0,401,(err),auth_fail,
151,51d632b3-1cd3-4bbc-1be3-08ddf04438b2,autopatrol,37744,400 North Ashley,Active,,,,,2025-09-10T08:42:34.597886Z,2025-09-10T08:42:39.023774Z,b594cbbe-b7f0-4efb-b4b3-51e28520c2f5,yes,1772791088,49.3,0,0,60,401,(err),auth_fail,
153,fedbc0a5-42f3-4847-02bf-08dde70262a5,autopatrol,35878,400 North Ashley,Active,,,cleanup_lambda:rollback-2026-04-24,2026-04-24T18:06:31.650068Z,2025-09-10T08:45:36.420388Z,2026-04-24T18:06:33.645102Z,8591e195-6c73-4dcd-8351-b3dda89fbdda,yes,1772881203,48.3,0,0,78,400,(err),gone_400,
150,0ad065a9-49df-4ce0-1be4-08ddf04438b2,autopatrol,37744,400 North Ashley,Active,,,,,2025-09-10T08:42:32.487910Z,2025-09-10T08:47:37.677521Z,b594cbbe-b7f0-4efb-b4b3-51e28520c2f5,yes,1772369889,54.2,0,0,16,401,(err),auth_fail,
152,a0e878cc-98a0-4f35-02c0-08dde70262a5,autopatrol,35878,400 North Ashley,Active,,,cleanup_lambda:rollback-2026-04-24,2026-04-24T18:06:31.650068Z,2025-09-10T08:45:34.950231Z,2026-04-24T18:06:34.125258Z,8591e195-6c73-4dcd-8351-b3dda89fbdda,yes,1772888402,48.2,0,0,23,400,(err),gone_400,
145,7e740591-691e-4b96-1be0-08ddf04438b2,vch,37744,400 North Ashley,Active,,,,,2025-09-10T08:32:19.024146Z,2025-09-10T08:32:22.468834Z,b594cbbe-b7f0-4efb-b4b3-51e28520c2f5,yes,,,0,0,0,401,(err),auth_fail,
147,c2aebe68-d31f-4c33-02bb-08dde70262a5,vch,35878,400 North Ashley,Active,,,,,2025-09-10T08:35:32.227516Z,2025-09-10T08:36:03.611965Z,8591e195-6c73-4dcd-8351-b3dda89fbdda,yes,,,0,0,0,400,(err),gone_400,
196,5c30e968-b48e-486c-4148-08de0265886d,autopatrol,37751,400 North Ashley,Active,,,,,2025-10-03T10:16:30.081307Z,2025-10-03T10:16:32.516199Z,e386800a-7c29-44d1-a15e-d9d96efe460b,yes,,,0,0,0,401,(err),auth_fail,
154,6c7605cd-07b7-45bc-1be5-08ddf04438b2,vch,37751,400 North Ashley,Active,,,,,2025-09-10T13:07:33.111778Z,2025-10-03T10:16:33.947814Z,e386800a-7c29-44d1-a15e-d9d96efe460b,yes,,,0,0,0,401,(err),auth_fail,
197,7ff2a743-9ef5-4c35-4149-08de0265886d,autopatrol,37751,400 North Ashley,Active,,,,,2025-10-03T10:31:29.095251Z,2025-10-03T10:31:31.487291Z,e386800a-7c29-44d1-a15e-d9d96efe460b,yes,,,0,0,0,401,(err),auth_fail,
136,3adc2460-f9dd-4d9e-02ad-08dde70262a5,vch,37458,400 North Ashley GF 1 (1),Active,,,,,2025-08-29T13:55:18.028901Z,2025-08-29T13:55:33.228612Z,1419710a-2fcb-4b53-8d0b-404a42f889ed,yes,,,0,0,0,200,Deleted,gone_explicit,
220,c40b2017-0f28-4793-c525-08de1b193ea0,vch,39381,4.1 Test Legacy Sch 3,Active,,,,,2025-11-04T15:30:23.373032Z,2025-11-04T15:30:38.464268Z,dfda7621-f1d3-4469-b6df-dea988fd81a9,yes,,,0,0,0,200,Deleted,gone_explicit,
101,d8e94727-7e40-45ca-785f-08ddcb586af6,vch,36237,"450 - 24th Avenue, AT&T (TIER 2)",Active,,,,,2025-07-29T07:50:13.235542Z,2026-01-07T17:43:04.844960Z,0ee7cb3f-4a3a-49b0-bcb5-73fce964b427,yes,,,0,0,0,401,(err),auth_fail,
146,ad2673dd-d567-4605-02bc-08dde70262a5,vch,35870,500 North Ashley,Active,,,,,2025-09-10T08:35:31.023033Z,2025-09-10T08:36:02.722100Z,8591e195-6c73-4dcd-8351-b3dda89fbdda,yes,,,0,0,0,400,(err),gone_400,
